Nonterminal	FIRST	FOLLOW
Program	{'',if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video}	{$}
StatementList	{'',if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video}	{$,}}
Statement	{if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
IfStmt	{if}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
IfStmtPrime	{else,''}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
NonIfStmt	{IDENTIFIER,for,input,print,save,concat,int,float,string,image,video}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
NonIfStmtPrime	{=,==,!=,<,<=,>,>=,'',;}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
VarDecl	{int,float,string,image,video}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
ForStmt	{for}	 {$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
Assignment	{IDENTIFIER}	{NUMBER,STRING,img,vid,IDENTIFIER,(,)}
IOStmt	{input,print,save,concat}	{$,if,IDENTIFIER,for,input,print,save,concat,int,float,string,image,video,}}
Expression	{NUMBER,STRING,img,vid,IDENTIFIER,(}	{),;}
RelationalTail	{==,!=,<,<=,>,>=,''}	{;,)}
AddExpr	{NUMBER,STRING,img,vid,IDENTIFIER,(}	{==,!=,<,<=,>,>=,),;}
AddTail	{+,-,''}	{==,!=,<,<=,>,>=,),;}
Term	{NUMBER,STRING,img,vid,IDENTIFIER,(}	{+,-,==,!=,<,<=,>,>=,),;}
TermTail	{*,/,%,''}	{+,-,==,!=,<,<=,>,>=,),;}
Factor	{NUMBER,STRING,img,vid,IDENTIFIER,(}	{*,/,%,+,-,==,!=,<,<=,>,>=,),;}
Type	{int,float,string,image,video}	{IDENTIFIER}
Params	{'',int,float,string,image,video}	{undefined}
Param	{int,float,string,image,video}	{,}
ParamsTail	{,,''}	{}
